1,Action
2,Adult
3,Adventure
4,Animation
5,Biography
6,Comedy
7,Commercial
8,Crime
9,Documentary
10,Drama
11,Erotica
12,Experimental
13,Family
14,Fantasy
15,Film-Noir
16,Game-Show
17,History
18,Horror
19,Lifestyle
20,Music
21,Musical
22,Mystery
23,News
24,Reality-TV
25,Romance
26,Sci-Fi
27,Short
28,Sport
29,Talk-Show
30,Thriller
31,War
32,Western
