329,2021758,"12 Years a Slave",2013,8.2,20000000.0,17,263819
335,2021786,120,2008,7.2,3000000.0,10,3012
336,2021786,120,2008,7.2,3000000.0,17,3012
337,2021786,120,2008,7.2,3000000.0,31,3012
341,2021838,"127 Hours",2010,7.7,18000000.0,3,227237
342,2021838,"127 Hours",2010,7.7,18000000.0,5,227237
343,2021838,"127 Hours",2010,7.7,18000000.0,10,227237
344,2021838,"127 Hours",2010,7.7,18000000.0,30,227237
353,2021929,"13 Eerie",2013,4.5,2505741.0,18,1256
354,2021929,"13 Eerie",2013,4.5,2505741.0,26,1256
355,2021938,"13 game sayawng",2006,6.8,3654847.0,6,4089
356,2021938,"13 game sayawng",2006,6.8,3654847.0,8,4089
357,2021938,"13 game sayawng",2006,6.8,3654847.0,10,4089
358,2021938,"13 game sayawng",2006,6.8,3654847.0,18,4089
359,2021938,"13 game sayawng",2006,6.8,3654847.0,22,4089
360,2021938,"13 game sayawng",2006,6.8,3654847.0,30,4089
361,2021946,"13 Going on 30",2004,6.1,37000000.0,6,93738
362,2021946,"13 Going on 30",2004,6.1,37000000.0,14,93738
363,2021946,"13 Going on 30",2004,6.1,37000000.0,25,93738
366,2021977,"13 Moons",2002,5.8,2000000.0,6,1018
367,2022002,"13 Sins",2014,6.2,4000000.0,18,13341
368,2022002,"13 Sins",2014,6.2,4000000.0,30,13341
383,2022193,1408,2007,6.8,25000000.0,18,179612
384,2022193,1408,2007,6.8,25000000.0,22,179612
387,2022234,"1492: Conquest of Paradise",1992,6.5,40000000.0,3,19644
388,2022234,"1492: Conquest of Paradise",1992,6.5,40000000.0,5,19644
389,2022234,"1492: Conquest of Paradise",1992,6.5,40000000.0,10,19644
390,2022234,"1492: Conquest of Paradise",1992,6.5,40000000.0,17,19644
394,2022301,"15 Minutes",2001,6.1,42000000.0,1,38752
395,2022301,"15 Minutes",2001,6.1,42000000.0,8,38752
396,2022301,"15 Minutes",2001,6.1,42000000.0,10,38752
397,2022301,"15 Minutes",2001,6.1,42000000.0,30,38752
411,2022427,"16 Blocks",2006,6.6,52000000.0,1,102972
412,2022427,"16 Blocks",2006,6.6,52000000.0,8,102972
413,2022427,"16 Blocks",2006,6.6,52000000.0,10,102972
414,2022427,"16 Blocks",2006,6.6,52000000.0,30,102972
419,2022485,"1612: Khroniki smutnogo vremeni",2007,5.7,12000000.0,10,1569
420,2022485,"1612: Khroniki smutnogo vremeni",2007,5.7,12000000.0,14,1569
421,2022485,"1612: Khroniki smutnogo vremeni",2007,5.7,12000000.0,17,1569
430,2022529,"17 Again",2009,6.4,20000000.0,6,118371
431,2022529,"17 Again",2009,6.4,20000000.0,10,118371
432,2022529,"17 Again",2009,6.4,20000000.0,14,118371
433,2022529,"17 Again",2009,6.4,20000000.0,25,118371
441,2022606,1776,1972,7.6,4000000.0,10,5751
442,2022606,1776,1972,7.6,4000000.0,13,5751
443,2022606,1776,1972,7.6,4000000.0,17,5751
444,2022606,1776,1972,7.6,4000000.0,21,5751
490,2023102,1941,1979,5.9,35000000.0,1,22049
491,2023102,1941,1979,5.9,35000000.0,6,22049
492,2023102,1941,1979,5.9,35000000.0,31,22049
536,2024227,"2 Coelhos",2012,7.4,1335344.5,1,3259
