Actor,Rating
528150,7.0
528159,6.0
528170,7.0
528172,6.5
528175,6.18
528188,6.5
528192,7.5
528194,8.4
528200,6.27
528202,6.8
528222,6.8
528227,6.4
528238,7.2
528255,3.6
528257,7.6
528275,5.9
528276,7.9
528292,6.1
528293,7.9
528294,8.0
528316,8.1
528317,5.7
528319,6.83
528329,4.7
528331,5.8
528333,5.7
528341,5.97
528368,5.0
528391,6.4
528396,5.9
528404,5.8
528406,5.52
528415,7.7
528416,6.7
528419,5.0
528429,6.7
528444,6.5
528454,7.1
528463,6.2
528468,4.3
528479,6.3
528483,5.7
528487,6.2
528488,6.8
528489,7.6
528494,5.97
528499,5.97
528503,5.69
528524,6.35
528557,6.52
528558,5.7
528559,6.95
528561,6.4
528577,6.95
528579,6.7
528580,8.3
528582,6.17
528588,6.5
528599,6.68
528603,7.85
528621,7.3
528630,6.85
528636,6.7
528645,5.95
528652,6.9
528654,5.7
528662,5.2
528672,8.2
528702,8.2
528709,7.6
528722,5.9
528724,7.9
528730,4.4
528745,6.07
528779,7.1
528797,3.1
528809,6.4
528822,6.8
528849,6.4
528851,6.58
528852,7.4
528854,5.2
528855,5.9
528863,7.0
528900,7.4
528913,5.2
528938,6.3
528956,6.8
528967,8.8
528969,5.9
528974,3.5
528979,6.7
528988,6.9
529004,5.1
529016,3.5
529021,7.5
529029,7.1
529045,5.95
529051,6.8
529056,6.3
529066,7.2
529067,6.5
529070,8.1
529086,6.9
529088,4.9
529089,4.9
529091,4.3
529098,6.2
529104,7.5
529105,7.5
529108,5.3
529114,7.7
529115,6.0
529118,6.8
529119,7.6
529120,5.3
529130,7.8
529134,6.0
529153,7.9
529158,5.8
529162,8.4
529172,4.2
529185,6.8
529192,3.0
529214,4.9
529220,6.31
529225,7.17
529230,7.0
529234,6.2
529240,7.5
529242,7.1
529254,7.0
529256,5.7
529262,7.8
529269,6.7
529290,4.7
529298,4.1
529314,8.8
529317,7.0
529323,7.6
529330,5.17
529339,6.15
529341,7.5
529384,7.05
529403,7.5
529408,7.4
529410,7.3
529413,6.9
529424,6.5
529444,7.5
529449,7.6
529456,7.8
529484,6.4
529487,6.92
529490,7.7
529504,6.4
529510,7.3
529517,4.3
529520,4.4
529530,6.4
529531,7.5
529540,7.9
529542,5.95
529561,6.65
529566,3.6
529572,6.2
529598,5.05
529600,6.6
529605,4.47
529618,7.7
529626,7.6
529643,6.35
529660,6.6
529661,6.15
529662,6.2
529667,6.63
529680,3.8
529686,6.7
529688,6.5
529695,4.5
529696,4.8
529703,5.5
529707,6.25
529708,6.7
529710,6.05
529711,7.2
