"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"51","2021946",6.1,0,3,73,0,6.07500004768372,5.78078460561765,6.01999998092651
"52","2022002",6.2,0,4,66,0,5.89999985694885,5.99799068351799,6.37499992052714
"53","2022073",7.1,0,0,1,0,7.09999990463257,7.09666661686367,7.09999990463257
"54","2022079",6.4,0,0,2,0,5.79999995231628,5.79999995231628,5.70740738621465
"55","2022193",6.8,0,0,31,1,6.75000007947286,6.54438622509687,6.01359340809198
"56","2022198",8.6,0,0,0,4,8.60000038146973,8.60000038146973,8.60000038146973
"57","2022234",6.5,0,0,23,0,7.03999996185303,6.57663460511428,6.75
"58","2022263",5.7,0,0,17,0,6.09999990463257,6.27843127842822,5.16666650772095
"59","2022280",7.4,0,0,51,0,6.66666666666667,6.88888896836175,6.66666666666667
"60","2022301",6.1,0,2,60,0,6,6.37855427372375,5.79999995231628
"61","2022427",6.6,0,0,79,0,6.89285714285714,5.80292801657761,6.58333325386047
"62","2022459",6.4,0,0,49,0,6.40000009536743,6.40000009536743,6.40000009536743
"63","2022482",7.1,0,0,8,0,7.09999990463257,7.05857135227748,7.09999990463257
"64","2022529",6.4,0,4,87,0,6.60000006357829,6.15475932802522,6.13333336512248
"65","2022597",6.3,0,0,13,0,6.35000014305115,6.77250007987022,6.50000015894572
"66","2022776",7,0,0,5,0,7,6.96666653951009,7
"67","2022886",6.5,0,0,32,0,6.5,6.69999996821086,6.5
"68","2022904",2.7,0,9,3,0,2.70000004768372,2.70000004768372,2.70000004768372
"69","2023065",4.2,0,32,27,0,5.56666660308838,5.56666660308838,4.88333320617676
"70","2023507",7.2,0,0,24,1,7.14999985694885,6.74444437026978,7.14999985694885
"71","2023987",5.4,0,0,5,0,5.40000009536743,5.40000009536743,5.40000009536743
"72","2023994",7,0,0,7,0,7,7,7
"73","2024227",7.4,0,0,48,1,7.40000009536743,7.1800000667572,7.40000009536743
"74","2024261",5.7,0,1,31,0,6.40000002724784,5.86805720763289,6.31666655010647
"75","2024268",7,0,0,22,0,7,6.96067248621987,6.85999999046326
"76","2024283",6.4,0,0,39,0,6.40000009536743,6.40000009536743,6.40000009536743
"77","2024304",6.8,0,0,59,0,6.73999996185303,6.17535072804472,6.80000019073486
"78","2024406",6.6,0,0,30,0,6.59999990463257,6.53999996185303,6.59999990463257
"79","2024659",5.3,0,0,20,0,5.30000019073486,5.32235157890221,5.30000019073486
"80","2024712",4.4,0,3,3,0,4.40000009536743,5.05878798455903,4.40000009536743
"81","2024727",5.8,0,1,5,0,5.80000019073486,5.80000019073486,5.60000006357829
"82","2024742",5.3,0,1,19,0,6.45000004768372,6.45000004768372,6.45000004768372
"83","2024744",3.3,0,16,9,0,3.29999995231628,3.63877545814125,3.29999995231628
"84","2024786",6.8,0,0,23,0,6.45000004768372,6.5,6.52777785725064
