«»,Producer, Film, Rating, Budget, Year
28427,1583928,2026125,6.3,"€ 11,590,000",2002
28428,1584038,2075303,7.4,"$40,000,000",2013
28429,1584038,2115507,8.3,"$150,000,000",2003
28430,1584038,2156839,5.4,"$52,000,000",2003
28431,1584038,2188447,6.7,"$55,000,000",1998
28432,1584038,2349297,6.5,"$80,000,000",2008
28433,1584038,2416029,6.2,"$15,000,000",2006
28434,1584038,2451952,6.1,"$20,000,000",1990
28435,1584038,2469674,5.5,"$45,000,000",2005
28436,1584038,2563004,7.3,"$225,000,000",2012
28437,1584038,2738543,2.9,"$70,000,000",2002
28438,1584038,2760132,4.9,"$84,000,000",2002
28439,1584038,2762738,5.4,"$40,000,000",2011
28440,1584038,2854492,7.3,"$20,000,000",2007
28441,1584038,2858644,6.5,"AUD 10,000,000",1990
28442,1584038,2861392,5.9,"$88,000,000",2005
28443,1584038,2870201,9.0,"$185,000,000",2005
28444,1584038,2870211,8.6,"$250,000,000",2010
28445,1584038,2956750,7.2,"$48,000,000",1999
28446,1584038,2982488,8.1,"$29,000,000",1995
28447,1584087,2442109,4.7,"$860,000",2011
28448,1584216,2029963,6.1,"$22,000,000",2013
28449,1584216,2170156,5.5,"$6,000,000",2013
28450,1584216,2475265,5.4,"€ 2,000,000",2008
28451,1584216,2505458,5.9,"MXN 40,000,000",2011
28452,1584216,2571106,7.5,"MXN 25,000,000",2004
28453,1584216,3011549,6.6,"MXN 30,000,000",2007
28454,1584219,2029963,6.1,"$22,000,000",2013
28455,1584219,2170156,5.5,"$6,000,000",2013
28456,1584219,2475265,5.4,"€ 2,000,000",2008
28457,1584219,2505458,5.9,"MXN 40,000,000",2011
28458,1584219,2571106,7.5,"MXN 25,000,000",2004
28459,1584219,3011549,6.6,"MXN 30,000,000",2007
28460,1584546,2723266,5.4,"$42,000,000",2011
28461,1584546,2821550,6.1,"$82,000,000",2011
28462,1584546,3002833,4.6,"$29,000,000",2001
28463,1584709,2297525,5.0,"$7,000,000",1993
28464,1584993,2034078,5.8,"$20,000,000",2004
28465,1584993,2716698,5.8,"$15,000,000",2004
28466,1584993,2918575,5.4,"$25,000,000",2005
28467,1585065,2356041,5.3,"£10,000",1970
28468,1585083,2489471,3.6,"€ 24,500,000",2007
28469,1585149,2762843,7.8,"€ 90,000",2007
28470,1585268,2185440,6.5,"$27,000",2008
28471,1586352,2485972,7.3,"€ 5,300,000",2003
28472,1586367,2385989,6.7,"€ 1,450,000",2002
28473,1586590,2725308,6.6,"FRF 20,000,000",2002
28474,1586620,2228595,4.2,"$100,000",2008
28475,1586678,2102239,6.8,"€ 700,000",2009
28476,1586678,2300006,6.1,"€ 3,167,000",2010
28477,1586678,2393155,6.9,"$500,000",2010
28478,1586678,2571100,5.8,"$2,000,000",2004
28479,1586789,2448023,6.7,"$35,000",2010
28480,1586954,2695808,6.0,"FRF 11,000,000",1998
28481,1587127,3043867,7.5,"$100,000",2009
28482,1587143,2308032,7.7,"$275,000",1978
28483,1587143,2406780,7.6,"$1,000,000",1985
28484,1587143,2587366,7.4,"$900,000",1971
28485,1587261,2958199,6.5,"$1,000,000",1939
28486,1587264,2886005,6.3,"$17,000,000",1994
28487,1587272,2283354,7.5,"$4,500,000",2001
28488,1587272,2609091,7.6,"€ 2,000,000",2004
28489,1587346,2126471,6.6,"$23,000,000",1995
28490,1587351,2045045,6.4,"$6,000,000",1987
28491,1587351,2113787,7.3,"$3,000,000",1988
28492,1587351,2451952,6.1,"$20,000,000",1990
28493,1587569,2350323,7.0,"$22,000,000",1990
28494,1587569,2442282,7.6,"$25,000,000",1990
28495,1587594,2021562,7.2,"$6,000,000",2003
28496,1587594,2205596,7.0,"$12,000,000",2006
28497,1587594,2205601,6.2,"$20,000,000",2009
28498,1587594,2343166,5.8,"$50,000,000",2009
28499,1587594,2374695,5.5,"$15,000,000",2001
28500,1587594,2408854,7.6,"$22,000,000",2002
28501,1587594,2801986,4.2,"$16,000,000",2004
28502,1587594,2877392,6.7,"$20,000,000",2005
28503,1587594,2909425,6.2,"$15,000,000",2008
28504,1587596,2416768,7.0,"$9,000,000",2002
28505,1587596,2512465,7.7,"$7,000,000",1998
28506,1587613,2153110,5.9,"$350,000",2008
28507,1587643,2372699,7.1,"SEK 40,000,000",1996
28508,1587752,2449469,6.1,"$1,000,000",2006
28509,1587788,2912599,7.8,"$188,000",1952
28510,1587788,3032962,6.6,"$24,500,000",1990
28511,1587791,2610396,7.3,"$2,000,000",2009
28512,1587826,2447448,6.7,"$5,000,000",1998
28513,1587962,2206744,6.8,"$8,000,000",1982
28514,1587962,2206746,5.9,"$3,500,000",1988
28515,1587962,2224646,8.0,"$650,000",1979
28516,1587962,2224647,7.4,"$26,000,000",2004
28517,1587962,2224933,7.2,"$3,500,000",1985
28518,1587962,2475460,6.4,"$3,000,000",1981
28519,1587962,2569063,7.2,"$80,000",2000
28520,1587962,2680164,6.5,"$11,500,000",1989
28521,1587962,2835766,6.1,"$3,500,000",1990
28522,1587962,2913918,5.9,"$1,000,000",1997
28523,1587962,2954207,5.6,"$14,000,000",1996
28524,1588072,2610432,5.2,"$500,000",2009
28525,1588223,2783942,6.1,"€ 1,000",2007
28526,1588302,2743880,4.3,"$3,000,000",1995
28527,1588432,3033516,5.5,"$35,000,000",2009
28528,1588465,2922186,5.7,"$114,000",2005
28529,1588694,2939430,5.1,"$5,250,000",2009
28530,1588786,2311972,6.3,"$20,000,000",2002
28531,1588786,2381330,5.7,"$25,000,000",1996
28532,1588786,2574555,6.5,"£2,500,000",2001
28533,1588786,2576097,3.4,"$20,000,000",1983
28534,1588786,2585975,8.1,"$30,000,000",2004
28535,1588786,2747488,5.8,"$35,000,000",2013
28536,1588786,2862883,6.1,"$18,000,000",1981
28537,1588786,2885335,9.2,"$6,000,000",1972
28538,1588786,2903190,6.3,"$82,000,000",2005
28539,1589009,2034136,6.5,"$60,000,000",1999
28540,1589009,2083243,7.3,"$25,000,000",2000
28541,1589009,2152008,6.8,"$55,000,000",1999
28542,1589009,2167356,7.9,"$55,000,000",2013
28543,1589009,2176346,6.5,"$45,000,000",2002
28544,1589009,2191024,7.3,"$27,000,000",2005
28545,1589009,2191707,6.7,"$12,000,000",1995
28546,1589009,2264341,7.5,"$20,000,000",2009
28547,1589009,2308663,5.6,"$50,000,000",2006
28548,1589009,2311384,7.8,"$40,000,000",2010
28549,1589009,2324000,6.5,"$26,000,000",1990
28550,1589009,2334217,5.0,"$37,665,000",2006
28551,1589009,2410430,6.8,"$22,000,000",2005
28552,1589009,2414356,6.2,"$25,000,000",1994
28553,1589009,2423531,6.3,"$35,000,000",1998
28554,1589009,2431625,7.5,"$11,000,000",2013
28555,1589009,2435932,7.1,"$5,500,000",2002
28556,1589009,2439009,6.6,"$85,000,000",2008
28557,1589009,2446993,6.2,"$20,000,000",1993
28558,1589009,2455547,7.0,"$40,000,000",2009
28559,1589009,2522857,6.8,"$140,000,000",2003
28560,1589009,2536933,6.7,"$10,000,000",1992
28561,1589009,2566304,2.7,"$20,000,000",2004
28562,1589009,2566751,6.0,"$10,000,000",2007
28563,1589009,2569525,6.7,"$23,000,000",1996
28564,1589009,2594704,7.6,"$50,000,000",2011
28565,1589009,2596654,7.8,"$16,000,000",2012
28566,1589009,2629495,8.2,"$25,000,000",2007
28567,1589009,2635206,7.5,"$15,000,000",2007
28568,1589009,2656697,6.2,"$18,000,000",2002
28569,1589009,2718394,6.6,"$80,000,000",1997
28570,1589009,2727620,7.5,"NOK 22,000,000",2007
28571,1589009,2730777,7.4,"$35,000,000",2009
28572,1589009,2743657,6.3,"$60,000,000",2000
28573,1589009,2747519,6.2,"$58,000,000",1995
28574,1589009,2773307,5.9,"$46,000,000",2000
28575,1589009,2787484,6.1,"$31,000,000",1992
28576,1589009,2787485,5.2,"$38,000,000",1994
28577,1589009,2791173,7.4,"$100,000,000",2000
28578,1589009,2802873,7.8,"$21,000,000",2000
28579,1589009,2815884,6.5,"$25,000,000",2008
28580,1589009,2840249,7.2,"$30,000,000",2003
28581,1589009,2849615,6.8,"$38,000,000",1992
28582,1589009,2870121,7.2,"$17,500,000",2008
28583,1589009,2872884,6.4,"$65,000,000",2012
28584,1589009,2880219,6.8,"$42,000,000",1993
28585,1589009,2880551,6.1,"$26,000,000",1996
28586,1589009,2884834,7.9,"$90,000,000",2011
28587,1589009,2891704,7.6,"$25,000,000",2002
28588,1589009,2901078,7.3,"$50,000,000",2005
28589,1589009,2907421,6.6,"$80,000,000",2004
28590,1589009,2916234,6.7,"$35,000,000",2008
28591,1589009,2923140,7.4,"£9,800,000",2006
28592,1589009,2928113,7.6,"$21,000,000",2002
28593,1589009,2929494,7.1,"$35,000,000",2003
28594,1589009,2934037,7.8,"$40,000,000",2010
28595,1589009,2936034,5.2,"$90,000,000",2004
28596,1589009,2942691,8.0,"$60,000,000",1998
28597,1589009,2945634,6.5,"$60,000,000",2004
28598,1589009,2952808,8.1,"$25,000,000",2008
28599,1589009,2978415,7.7,"$38,000,000",2010
28600,1589009,2982708,6.2,"$20,000,000",1998
28601,1589009,3041815,7.4,"$35,000,000",2011
28602,1589009,3060144,6.6,"$28,000,000",2001
28603,1589225,2435022,4.7,"$8,000,000",2011
28604,1589234,2546690,5.6,"$500,000",2011
28605,1589285,2208510,3.2,"$12,000,000",2002
28606,1589420,2506696,3.2,"$2,000,000",2006
28607,1589423,2350689,8.2,"$2,000",2010
28608,1589563,3054598,7.8,"€ 6,000",2012
28609,1589653,2115594,7.9,"$6,000,000",1993
28610,1589877,3023656,6.4,"$3,000,000",2003
28611,1589878,2703414,4.5,"$230,000",2014
28612,1590092,3035365,4.6,"$200,000",2008
28613,1590237,2821214,6.5,"FRF 17,000,000",1985
28614,1590239,2891472,5.0,"$750,000",2008
28615,1590340,2091294,7.0,"$2,000,000",1940
28616,1590340,2186758,6.0,"$1,433,000",1931
28617,1590340,2411516,6.3,"$500,000",1937
28618,1590362,2053392,3.5,"$500,000",2008
28619,1590399,2650900,7.2,"$1,000,000",2007
28620,1590551,2504470,5.1,"€ 90,000",2011
28621,1591227,2908900,6.3,"$25,000,000",2009
28622,1591227,3025824,5.0,"$3,500,000",2014
28623,1591341,2193323,5.7,"$10,000",2002
28624,1591469,2931219,5.3,"$85,000",2009
28625,1591696,2305389,3.7,"$3,500,000",2008
28626,1591749,2101943,3.2,"CAD 500,000",2009
28627,1591832,2610950,4.5,"$1,200,000",2007
28628,1591832,2643165,6.2,"$1,000,000",2009
28629,1591851,2902409,6.0,"£650,000",2005
28630,1591970,2208286,4.4,"$1,250,000",2012
28631,1592505,2106291,6.3,"INR 180,000,000",2008
28632,1592692,2483960,7.2,"DEM 9,250,000",2004
28633,1592841,2024712,4.4,"€ 2,060,000",2006
28634,1592841,2024712,4.4,"€ 2,060,000",2006
28635,1592841,2776479,6.8,"FRF 17,000,000",1996
28636,1593041,2896928,8.1,"$15,000,000",2011
28637,1593067,2224934,4.5,"$18,000,000",2008
28638,1593121,2937441,7.3,"$3,500,000",1981
28639,1593376,2059860,5.0,"$130,000,000",2013
28640,1593376,2243693,6.3,"$10,000,000",2011
28641,1593376,2506472,5.7,"$75,000,000",2006
28642,1593376,2888756,5.1,"$48,000,000",2008
28643,1593406,2169261,2.6,"$5,000,000",2007
28644,1593406,2174017,3.2,"$500,000",2014
28645,1593406,2174017,3.2,"$500,000",2014
28646,1593406,2354822,7.9,"$12,500,000",1992
28647,1593406,2567479,6.7,"$2,500,000",2005
28648,1593406,2772929,4.9,"$2,000,000",2008
28649,1593406,2906516,6.7,"$6,500,000",2005
28650,1593406,2932418,6.1,"$50,000",2008
28651,1593700,2933475,4.1,"$30,000",2011
28652,1593810,2728580,3.6,"$1,000,000",2012
28653,1593902,2194068,7.6,"$65,000,000",2004
28654,1593902,2297036,6.0,"$100,000,000",1996
28655,1593902,2908024,6.8,"$18,000,000",1994
28656,1593977,2081238,7.3,"$26,000,000",2003
28657,1593977,2410430,6.8,"$22,000,000",2005
28658,1593977,2797235,6.6,"$180,000",2004
28659,1593977,2933406,6.1,"$500,000",2002
28660,1594191,2607858,7.0,"$5,000,000",2000
28661,1594191,2947303,6.5,"$40,000,000",2008
28662,1594294,2933475,4.1,"$30,000",2011
28663,1594308,2860076,8.0,"$750,000",1974
28664,1594308,2897637,5.8,"$2,500,000",1989
28665,1594308,2911918,7.2,"£1,600,000",1970
28666,1594308,2966672,6.6,"$5,000,000",1975
28667,1594331,2298721,5.6,"$50,000,000",1996
28668,1594375,2790822,5.9,"$2,500,000",2008
28669,1594569,2112745,6.3,"$12,000,000",2003
28670,1594698,2123896,6.8,"$5,000,000",2011
28671,1594837,2231973,3.3,"$50,000",2013
28672,1594882,2074752,8.0,"$1,000,000",2006
28673,1594882,2927882,6.9,"$8,500,000",1979
28674,1594882,3039224,5.5,"$13,000,000",1986
28675,1594891,2286121,6.3,"$10,000",2008
28676,1595039,3039224,5.5,"$13,000,000",1986
28677,1595043,2024283,6.4,"CAD 450,000",2010
28678,1595081,2626458,6.9,"$4,200,000",1990
28679,1595081,2859383,4.5,"$20,000",1976
28680,1595081,2905363,4.1,"$85,000",1987
28681,1595081,2952903,5.4,"$70,000",1971
28682,1595219,2892754,6.3,"$16,000,000",2005
28683,1595222,2600376,4.4,"$6,000,000",2013
28684,1595397,2275382,5.4,"$520,000",1980
28685,1595397,2275382,5.4,"$520,000",1980
28686,1596063,2463447,7.8,"$4,500,000",1997
28687,1596065,2087382,6.8,"$55,000,000",2000
28688,1596065,2334320,6.9,"$3,000,000",1996
28689,1596065,2381167,6.8,"$33,000,000",1994
28690,1596065,2618072,7.3,"$34,000,000",1994
28691,1596065,2629046,7.1,"$50,000,000",1995
28692,1596065,2985766,6.8,"$19,000,000",1996
28693,1596333,2387035,3.7,"$6,000,000",2013
28694,1596333,2648571,8.0,"€ 170,000",2011
28695,1596333,3059409,4.9,"€ 500,000",2012
28696,1596333,3059409,4.9,"€ 500,000",2012
28697,1596339,2423274,5.8,"CAD 3,600,000",1981
28698,1596753,2136112,5.2,"$300,000",1973
28699,1596753,2180046,5.6,"$90,000",1970
28700,1596753,2319963,5.5,"$82,000",1968
28701,1596753,2826174,6.2,"$100,000",1975
28702,1596753,3013811,5.8,"$76,000",1970
28703,1597389,2393761,6.9,"NOK 50,000",2004
28704,1597498,2219986,4.0,"$3,000,000",2010
28705,1597498,2269637,8.2,"$500,000",2008
28706,1597498,2956275,5.1,"$2,400,000",2007
28707,1597514,2317910,6.9,"£6,000,000",2010
28708,1597514,2389367,3.0,"$13,000,000",2008
28709,1597514,2494501,6.4,"€ 8,000,000",2012
28710,1597514,2523018,6.2,"$7,000,000",2009
28711,1597514,2565021,5.6,"$28,000,000",2011
28712,1597514,2687189,6.1,"$70,000,000",2007
28713,1597514,2783859,4.4,"$6,000,000",2006
28714,1597514,2888141,6.2,"$14,000,000",2000
28715,1597563,2183718,6.5,"$3,000,000",2009
28716,1597563,2456118,7.0,"$1,000,000",2005
28717,1597694,2645260,4.6,"AUD 2,800,000",1996
28718,1597699,2838805,6.8,"$68,230",2008
28719,1597847,2330335,5.8,"$8,000,000",1992
28720,1597847,2861469,6.3,"$6,000,000",1998
28721,1598000,2347307,6.9,"$7,000,000",2005
28722,1598284,2079258,7.1,"$30,000,000",2005
28723,1598284,2328373,6.2,"$40,000,000",1992
28724,1598284,2433542,5.1,"$45,000,000",1994
28725,1598284,2868355,7.4,"$6,000,000",1972
28726,1598315,2261921,8.1,"$4,500,000",2003
28727,1598315,2401459,5.6,"$6,900,000",2012
28728,1598315,2577755,8.5,"$9,000,000",2000
28729,1598315,2722796,7.5,"AUD 8,500,000",2012
28730,1598315,2752432,5.9,"$30,000,000",2012
28731,1598315,2811590,6.5,"$5,000,000",2002
28732,1598315,2909241,6.1,"$34,000,000",2001
28733,1598315,2921302,8.5,"$40,000,000",2007
28734,1598315,2924124,6.4,"$26,000,000",2012
28735,1598315,2925817,4.8,"$15,000,000",2008
28736,1598315,2972937,6.3,"$100,000,000",2014
28737,1598315,3039305,5.0,"CAD 4,500,000",2002
28738,1598315,3044333,6.1,"$12,600,000",2003
28739,1598489,2849236,5.6,"$495,000",2011
28740,1598499,3031997,7.2,"$165,000",1999
28741,1598657,2109226,5.7,"$35,000,000",2001
28742,1598657,2126471,6.6,"$23,000,000",1995
28743,1598657,2126471,6.6,"$23,000,000",1995
28744,1598932,2450299,6.8,"$2,400,000",2006
28745,1599141,2062722,7.3,"DEM 15,000,000",1999
28746,1599141,2443228,6.4,"$15,000,000",2000
28747,1599141,2500504,4.4,"FRF 14,000,000",2001
28748,1599141,2694418,6.4,"PLN 9,000,000",2003
28749,1599141,2754245,6.6,"$835,000",2000
28750,1599141,2758735,8.9,"$22,000,000",1993
28751,1599141,2919255,8.5,"$35,000,000",2002
28752,1599141,2988465,6.7,"FRF 53,000,000",1997
28753,1599141,3035764,3.5,"PLN 18,820,000",2001
28754,1599472,2733095,5.6,"€ 1,070,000",2006
28755,1599513,2758777,7.1,"$250,000",1997
28756,1599686,2441817,6.7,"€ 800,000",2014
28757,1599830,2290207,8.2,"$10,000,000",2014
28758,1599911,2050533,7.4,"$2,000,000",1996
28759,1599911,2346788,5.4,"DEM 6,200,000",2010
28760,1599911,2483756,6.5,"$600,000",1999
28761,1599911,2617429,3.9,"$500,000",1998
28762,1599911,2639852,6.3,"$1,500,000",2002
28763,1599911,2738333,5.5,"HUF 390,000,000",2006
28764,1599962,2065755,6.4,"DEM 50,000",1979
28765,1600002,2031335,7.2,"$9,500,000",2005
28766,1600002,2378556,7.0,"€ 1,500,000",2009
28767,1600002,2482628,5.7,"FIM 7,400,000",2002
28768,1600002,2507240,5.9,"FIM 6,860,192",2000
28769,1600002,2581334,6.7,"€ 185,000",2012
28770,1600002,2680814,6.0,"FIM 4,687,693",1988
28771,1600002,2685490,6.1,"€ 5,555,559",2013
28772,1600002,2690712,7.3,"FIM 5,652,613",1988
28773,1600002,2695190,4.4,"FIM 3,820,211",1990
28774,1600002,2710531,6.4,"€ 1,200,000",2008
28775,1600002,2743572,6.8,"FIM 12,614,904",2002
28776,1600002,2746267,6.5,"FIM 4,509,692",1991
28777,1600002,2746269,6.4,"FIM 12,000,000",2001
28778,1600002,2746271,5.9,"€ 5,200,000",2010
28779,1600002,2746271,5.9,"€ 5,200,000",2010
28780,1600002,2831501,5.4,"€ 1,400,000",2011
28781,1600002,2836410,7.9,"FIM 23,500,000",1989
28782,1600002,2837196,4.3,"FIM 7,300,000",2001
28783,1600002,2980476,6.8,"FIM 8,823,603",1999
28784,1600002,3005258,6.4,"FIM 3,006,865",1997
28785,1600002,3010164,5.7,"€ 1,244,000",2003
28786,1600002,3017178,5.3,"FIM 2,880,002",1990
28787,1600658,2061865,5.2,"INR 100,000,000",2005
28788,1600914,2262932,6.1,"$500,000",2008
28789,1600914,2497783,5.6,"€ 15,000,000",2013
28790,1600914,2519618,6.8,"FFR 65,000,000",2001
28791,1600930,2018501,8.2,"$17,000",2011
28792,1600939,2824637,2.4,"€ 20,000",2012
28793,1601052,2595982,5.8,"$20,000,000",2011
28794,1601128,2152730,4.1,"€ 600,000",2003
28795,1601128,2214513,6.8,"FIM 928,059",1997
28796,1601128,2278250,5.8,"€ 1,300,000",2014
28797,1601128,2293050,5.9,"€ 1,000,000",2012
28798,1601128,2298019,5.3,"€ 1,126,857",2007
28799,1601128,2456697,6.1,"€ 1,100,000",2004
28800,1601128,2467651,5.4,"FIM 6,500,000",2001
28801,1601128,2587019,5.2,"FIM 1,607,797",1997
28802,1601128,2635875,6.8,"€ 1,087,000",2003
28803,1601128,2683559,6.3,"FIM 950,000",2002
28804,1601128,2684199,5.8,"FIM 6,498,000",1999
28805,1601128,2686381,5.6,"€ 380,000",2005
28806,1601128,2696100,7.3,"€ 525,000",2009
28807,1601128,2709178,5.5,"€ 1,152,065",2011
28808,1601128,2717258,6.4,"FIM 5,224,648",1999
28809,1601128,2734331,5.5,"€ 1,100,000",2008
28810,1601128,2734333,5.3,"€ 1,700,000",2009
28811,1601128,2734335,4.9,"€ 1,586,000",2012
28812,1601128,2831373,6.0,"FIM 180,000",1996
28813,1601394,2994212,7.1,"$5,000,000",2006
28814,1601468,2830679,5.9,"$12,987",2010
28815,1601484,2584418,5.0,"$15,000,000",1995
28816,1601484,2584418,5.0,"$15,000,000",1995
28817,1601591,2139306,4.6,"$3,000,000",2012
28818,1601611,2350438,4.3,"$12,000,000",1993
28819,1601611,2675189,6.5,"$8,000,000",1994
28820,1602140,2710882,6.2,"$1,200,000",1983
28821,1602169,2052820,7.6,"INR 300,000",2013
28822,1602276,2149267,7.9,"$1,500,000",2000
28823,1602450,2970427,6.5,"$10,000",2008
28824,1602491,2107860,7.1,"$1,000,000",1992
28825,1602727,2455547,7.0,"$40,000,000",2009
28826,1602741,2030584,4.6,"$4,000,000",2007
28827,1602741,2161874,4.3,"$10,000,000",2010
28828,1602741,2457024,5.9,"$625,000",2007
28829,1602741,2457024,5.9,"$625,000",2007
28830,1602741,2734461,4.1,"$2,500,000",2012
28831,1602741,2934968,6.9,"$1,000,000",2005
28832,1602918,3043867,7.5,"$100,000",2009
28833,1602942,2523429,4.6,"$900,000",1993
28834,1602942,2952720,6.6,"$40,000",1974
28835,1603011,2652973,8.1,"$8,000",2014
28836,1603050,2951295,6.9,"$66,000,000",1998
28837,1603079,2154510,6.2,"$10,000,000",2000
28838,1603082,2082984,5.6,"$38,000,000",2001
28839,1603082,2199909,4.6,"$8,000,000",2008
28840,1603082,2895995,5.2,"$10,000,000",2009
28841,1603094,2846562,7.6,"$6,500,000",2005
28842,1603224,2427881,8.2,"$6,800,000",2011
28843,1603224,2513165,6.4,"FRF 14,370,000",1999
28844,1603224,2712211,7.0,"BRL 3,000,000",2004
28845,1603224,2994412,7.1,"€ 2,000,000",2011
28846,1603224,2994514,6.3,"€ 2,700,000",2012
28847,1603290,2075950,8.1,"INR 50,000",2013
28848,1603303,2768058,5.9,"$30,000",2004
28849,1603458,2416311,5.0,"$4,000,000",2007
28850,1603458,2723930,3.9,"$26,000,000",2007
28851,1603855,2289833,4.4,"$250,000",2011
28852,1604001,2559101,8.0,"PKR 90,000,000",2013
28853,1604077,2851033,6.1,"$400,000",2008
28854,1604465,2101717,3.8,"$50,000",2006
28855,1604481,2088402,7.8,"$40,000,000",2006
28856,1604676,2200139,7.4,"$90,000,000",1997
28857,1604836,2213950,8.2,$500,2008
28858,1604960,2075444,5.0,"CAD 200,000",1983
28859,1604960,2907908,4.9,"$9,000,000",2006
28860,1605641,2619877,6.6,"€ 1,000,000",2006
28861,1605641,2619877,6.6,"€ 1,000,000",2006
28862,1605641,2709546,8.2,"DEM 50,000",1998
28863,1605833,2718912,5.0,"INR 11,050,000",2007
28864,1605954,2071285,6.0,"$60,000",1975
28865,1605992,2606363,7.5,"€ 110,000",2012
28866,1606074,2144435,5.6,"$5,000,000",2008
28867,1606601,2516886,5.8,"€ 11,000,000",2012
28868,1606601,2777250,7.8,"KRW 1,300,000,000",2010
28869,1607259,2378830,6.1,"$20,000,000",2012
28870,1607259,2979772,6.8,"$1,000,000",2009
28871,1607268,2319591,6.4,"$137,000,000",2001
28872,1607925,2188261,6.5,"$500,000",2008
28873,1607925,2549332,4.4,"$10,000",2014
28874,1608326,2509020,5.9,"€ 5,000,000",2012
28875,1608326,2544791,6.1,"€ 5,000,000",2013
28876,1608326,2557699,3.4,"€ 10,000,000",2013
28877,1608326,2669800,3.7,"€ 3,200,000",2013
28878,1608335,2030808,4.8,"$3,000,000",2010
28879,1608690,2173776,3.6,"$930,000",2006
28880,1608690,2935570,4.1,"$250,000",2013
28881,1608740,2057725,7.5,"$5,000",2013
28882,1609214,2996417,6.0,"$2,000,000",2012
28883,1609471,2071253,6.8,"$8,000,000",2014
28884,1609471,3013513,3.6,"ESP 600,000,000",2002
28885,1609523,2897807,4.7,"$2,000,000",2012
28886,1609705,2414695,6.7,"$95,000,000",2010
28887,1609889,2610435,7.2,"€ 2,600,000",2013
28888,1609981,2966681,5.0,"SEK 26,000,000",2014
28889,1610220,2735570,7.1,"CAD 250,000",1988
28890,1610286,2756217,6.6,"$45,000,000",2012
28891,1610326,2529255,3.6,"$300,000",1998
28892,1610540,2987975,4.4,"$5,300,000",1998
28893,1610554,2911702,4.2,"$5,000,000",2012
28894,1610682,2077357,5.8,"CAD 3,000",2011
28895,1610937,2055807,5.4,"$2,000,000",2011
28896,1611290,2101296,6.3,"$4,000,000",1960
28897,1611290,2923780,6.3,"$10,000,000",1990
28898,1611291,2185031,4.4,"$40,000,000",1992
28899,1611291,2208247,6.5,"$8,000,000",1978
28900,1611291,2753591,5.9,"$50,000,000",1985
28901,1611291,2825664,4.3,"$35,000,000",1984
28902,1611291,2825791,7.3,"$55,000,000",1978
28903,1611291,2825812,6.8,"$54,000,000",1980
28904,1611291,2825815,4.9,"$39,000,000",1984
28905,1611462,2174046,8.0,"$2,900,000",1998
28906,1611462,2186497,8.7,"$3,300,000",2002
28907,1611462,2650229,6.1,"$25,000,000",2012
28908,1611504,2390828,6.8,"FIM 1,200,000",1986
28909,1611597,2958909,4.4,"$200,000",2010
28910,1612689,2115880,7.0,"$17,000,000",1969
28911,1612689,2164719,7.9,"$800,000",1965
28912,1612689,2245247,6.7,"$7,200,000",1971
28913,1612689,2265781,7.3,"$1,100,000",1962
28914,1612689,2336723,7.5,"$2,000,000",1963
28915,1612689,2358348,7.8,"$3,000,000",1964
28916,1612689,2537735,6.8,"$7,000,000",1973
28917,1612689,2649344,6.8,"$7,000,000",1969
28918,1612689,2755655,7.6,"£100,000",1961
28919,1612689,2907318,6.8,"$13,000,000",1974
28920,1612689,2958312,7.0,"$9,000,000",1965
28921,1612689,3051954,6.9,"$9,500,000",1967
28922,1612779,2031002,5.2,"INR 35,000,000",2008
28923,1613108,2359706,7.6,"$7,500,000",2006
28924,1613108,2388162,6.6,"$100,000,000",2004
28925,1613108,2505967,6.5,"$55,000,000",2005
28926,1613108,2633713,7.3,"$35,000,000",2004
28927,1613203,2030584,4.6,"$4,000,000",2007
28928,1613203,2138671,3.8,"$10,000,000",2007
28929,1613203,2224677,4.8,"$5,000,000",2012
28930,1613203,2234275,4.8,"$6,000,000",2006
28931,1613203,2243170,5.6,"$10,000,000",2002
28932,1613203,2293729,5.1,"$5,000,000",2006
28933,1613203,2354029,6.0,"$15,000,000",2010
28934,1613203,2386347,5.7,"$7,000,000",2008
28935,1613203,2531763,3.5,"$4,500,000",2007
28936,1613203,2609349,5.2,"$25,000,000",2008
28937,1613203,2772855,5.1,"$5,000,000",2003
28938,1613203,2797216,4.3,"$8,000,000",2012
28939,1613203,2857469,5.6,"$35,000,000",2013
28940,1613203,2890653,5.4,"$6,000,000",2011
28941,1613203,2947564,3.3,"$5,000,000",2009
28942,1613494,2030808,4.8,"$3,000,000",2010
28943,1613812,2024659,5.3,"$60,000",2000
28944,1613812,2027649,5.9,"$42,000,000",2002
28945,1613812,2030584,4.6,"$4,000,000",2007
28946,1613812,2047692,4.1,"$52,000,000",2008
28947,1613812,2066258,5.5,"$30,000,000",2003
28948,1613812,2082984,5.6,"$38,000,000",2001
28949,1613812,2102541,5.2,"$17,000,000",2004
28950,1613812,2110575,3.6,"$70,000,000",2003
28951,1613812,2116115,2.4,"$44,000,000",2000
28952,1613812,2149793,5.1,"$9,000,000",1999
28953,1613812,2188361,6.2,"$60,000,000",2003
28954,1613812,2195103,5.5,"$7,000,000",2008
28955,1613812,2217899,4.6,"$8,500,000",1997
28956,1613812,2268627,4.5,"$72,000,000",2000
28957,1613812,2296035,6.4,"$3,000,000",2000
28958,1613812,2314413,3.3,"$42,000,000",2002
28959,1613812,2333899,5.0,"$30,000,000",1998
28960,1613812,2339672,3.5,"$30,000,000",2004
